time,pnl_r,type,symbol,dollar_pnl,balance,drawdown
2025-12-31 08:00:00,-1.0,SNIPER,GBPCAD,-48.5,3128.25,-71.61716171617162
2025-12-31 08:05:00,-1.0,SNIPER,ETHUSD,-48.5,3079.75,-72.05720572057206
2025-12-31 10:50:00,-1.0,SNIPER,AUDJPY,-48.5,3031.25,-72.4972497249725
2025-12-31 11:30:00,2.0,SNIPER,GBPCAD,97.0,3128.25,-71.61716171617162
2025-12-31 11:30:00,2.0,SNIPER,GBPUSD,97.0,3225.25,-70.73707370737074
2025-12-31 12:40:00,2.0,SNIPER,ETHUSD,97.0,3322.25,-69.85698569856986
2025-12-31 14:00:00,-1.0,SNIPER,USDCAD,-48.5,3273.75,-70.29702970297029
2025-12-31 14:55:00,-1.0,SNIPER,USDJPY,-48.5,3225.25,-70.73707370737074
2025-12-31 17:40:00,2.0,SNIPER,GBPJPY,97.0,3322.25,-69.85698569856986
2025-12-31 17:45:00,-1.0,SNIPER,ETHUSD,-48.5,3273.75,-70.29702970297029
2025-12-31 18:00:00,2.0,SNIPER,NZDUSD,97.0,3370.75,-69.41694169416942
2025-12-31 18:00:00,2.0,SNIPER,AUDUSD,97.0,3467.75,-68.53685368536854
2025-12-31 23:20:00,-1.0,SNIPER,AUDNZD,-48.5,3419.25,-68.97689768976898
2025-12-31 23:40:00,-1.0,SNIPER,NZDUSD,-48.5,3370.75,-69.41694169416942
2025-12-31 23:40:00,2.0,SNIPER,GBPCAD,97.0,3467.75,-68.53685368536854
2026-01-01 03:40:00,-1.0,SNIPER,ETHUSD,-48.5,3419.25,-68.97689768976898
2026-01-01 04:45:00,2.0,SNIPER,BTCUSD,97.0,3516.25,-68.0968096809681
2026-01-01 09:50:00,-1.0,SNIPER,BTCUSD,-48.5,3467.75,-68.53685368536854
2026-01-01 10:15:00,2.0,SNIPER,SOLUSD,97.0,3564.75,-67.65676567656766
2026-01-01 13:40:00,-1.0,SNIPER,ETHUSD,-48.5,3516.25,-68.0968096809681
2026-01-01 15:45:00,-1.0,SNIPER,BTCUSD,-48.5,3467.75,-68.53685368536854
2026-01-01 17:35:00,-1.0,SNIPER,SOLUSD,-48.5,3419.25,-68.97689768976898
2026-01-01 20:00:00,-1.0,SNIPER,ETHUSD,-48.5,3370.75,-69.41694169416942
2026-01-01 20:10:00,-1.0,SNIPER,BTCUSD,-48.5,3322.25,-69.85698569856986
2026-01-02 01:00:00,-1.0,SNIPER,USDCAD,-48.5,3273.75,-70.29702970297029
2026-01-02 01:20:00,-1.0,SNIPER,EURGBP,-48.5,3225.25,-70.73707370737074
2026-01-02 01:50:00,-1.0,SNIPER,GBPJPY,-48.5,3176.75,-71.17711771177117
2026-01-02 02:05:00,-1.0,SNIPER,AUDJPY,-48.5,3128.25,-71.61716171617162
2026-01-02 06:10:00,-1.0,SNIPER,SOLUSD,-48.5,3079.75,-72.05720572057206
2026-01-02 06:15:00,-1.0,SNIPER,ETHUSD,-48.5,3031.25,-72.4972497249725
2026-01-02 07:20:00,-1.0,SNIPER,GBPUSD,-48.5,2982.75,-72.93729372937293
2026-01-02 10:10:00,-1.0,SNIPER,AUDNZD,-48.5,2934.25,-73.37733773377337
2026-01-02 10:15:00,2.0,SNIPER,EURJPY,97.0,3031.25,-72.4972497249725
