symbol,time,pnl_r,is_winner,dollar_pnl,balance
BTCUSD,2026-02-16 11:00:00,2.5,True,6250.0,926250.0
ETHUSD,2026-02-16 11:00:00,2.5,True,6250.0,932500.0
EURJPY,2026-02-16 11:35:00,-1.0,False,-2500.0,930000.0
EURGBP,2026-02-16 11:50:00,2.5,True,6250.0,936250.0
SOLUSD,2026-02-16 13:10:00,-1.0,False,-2500.0,933750.0
SOLUSD,2026-02-16 13:20:00,2.5,True,6250.0,940000.0
ETHUSD,2026-02-16 13:20:00,2.5,True,6250.0,946250.0
BTCUSD,2026-02-16 13:20:00,2.5,True,6250.0,952500.0
BTCUSD,2026-02-16 14:25:00,-1.0,False,-2500.0,950000.0
ETHUSD,2026-02-16 14:30:00,-1.0,False,-2500.0,947500.0
GBPUSD,2026-02-16 15:10:00,-1.0,False,-2500.0,945000.0
GBPUSD,2026-02-16 15:15:00,-1.0,False,-2500.0,942500.0
AUDJPY,2026-02-16 16:45:00,-1.0,False,-2500.0,940000.0
BTCUSD,2026-02-16 17:30:00,2.5,True,6250.0,946250.0
BTCUSD,2026-02-16 22:55:00,-1.0,False,-2500.0,943750.0
GBPUSD,2026-02-16 23:35:00,-1.0,False,-2500.0,941250.0
GBPUSD,2026-02-16 23:40:00,2.5,True,6250.0,947500.0
NZDUSD,2026-02-16 23:40:00,-1.0,False,-2500.0,945000.0
USDCAD,2026-02-16 23:40:00,2.5,True,6250.0,951250.0
AUDUSD,2026-02-16 23:40:00,-1.0,False,-2500.0,948750.0
EURUSD,2026-02-16 23:40:00,-1.0,False,-2500.0,946250.0
AUDNZD,2026-02-16 23:45:00,-1.0,False,-2500.0,943750.0
EURUSD,2026-02-16 23:45:00,-1.0,False,-2500.0,941250.0
USDCAD,2026-02-16 23:45:00,2.5,True,6250.0,947500.0
NZDUSD,2026-02-17 00:05:00,-1.0,False,-2500.0,945000.0
CADCHF,2026-02-17 00:05:00,-1.0,False,-2500.0,942500.0
AUDJPY,2026-02-17 00:05:00,2.5,True,6250.0,948750.0
EURJPY,2026-02-17 00:05:00,2.5,True,6250.0,955000.0
EURGBP,2026-02-17 00:05:00,-1.0,False,-2500.0,952500.0
CADCHF,2026-02-17 00:10:00,2.5,True,6250.0,958750.0
EURGBP,2026-02-17 00:10:00,-1.0,False,-2500.0,956250.0
EURJPY,2026-02-17 02:15:00,-1.0,False,-2500.0,953750.0
EURUSD,2026-02-17 02:45:00,-1.0,False,-2500.0,951250.0
EURGBP,2026-02-17 05:35:00,-1.0,False,-2500.0,948750.0
EURJPY,2026-02-17 07:15:00,-1.0,False,-2500.0,946250.0
GBPJPY,2026-02-17 07:15:00,-1.0,False,-2500.0,943750.0
CADCHF,2026-02-17 07:20:00,-1.0,False,-2500.0,941250.0
CADCHF,2026-02-17 07:25:00,-1.0,False,-2500.0,938750.0
EURGBP,2026-02-17 09:00:00,-1.0,False,-2500.0,936250.0
GBPCAD,2026-02-17 09:00:00,-1.0,False,-2500.0,933750.0
GBPJPY,2026-02-17 09:05:00,-1.0,False,-2500.0,931250.0
GBPUSD,2026-02-17 09:05:00,-1.0,False,-2500.0,928750.0
EURGBP,2026-02-17 09:05:00,-1.0,False,-2500.0,926250.0
GBPCAD,2026-02-17 09:05:00,-1.0,False,-2500.0,923750.0
GBPJPY,2026-02-17 09:10:00,-1.0,False,-2500.0,921250.0
USDCAD,2026-02-17 09:10:00,-1.0,False,-2500.0,918750.0
EURGBP,2026-02-17 09:10:00,-1.0,False,-2500.0,916250.0
GBPUSD,2026-02-17 09:10:00,-1.0,False,-2500.0,913750.0
USDCAD,2026-02-17 09:15:00,2.5,True,6250.0,920000.0
GBPJPY,2026-02-17 09:15:00,2.5,True,6250.0,926250.0
GBPUSD,2026-02-17 09:15:00,-1.0,False,-2500.0,923750.0
AUDNZD,2026-02-17 09:40:00,2.5,True,6250.0,930000.0
