position_id,profit,comment_exit,symbol,comment_entry,strategy
106119051,38.52,[tp 1.63358],EURAUD,LHN_NEME_A32R25_,LHN_NEME_A32R25_
106119025,38.52,[tp 1.63358],EURAUD,LHN_NEME_A15R25_,LHN_NEME_A15R25_
106119047,38.52,[tp 1.63358],EURAUD,LHN_NEME_A28R25_,LHN_NEME_A28R25_
106119031,38.52,[tp 1.63358],EURAUD,LHN_NEME_A20R25_,LHN_NEME_A20R25_
106119038,38.52,[tp 1.63358],EURAUD,LHN_NEME_A25R25_,LHN_NEME_A25R25_
106162646,14.81,[tp 1.95817],EURNZD,LHN_ALFA_A15R15_,LHN_ALFA_A15R15_
106162647,14.81,[tp 1.95817],EURNZD,LHN_ALFA_A20R15_,LHN_ALFA_A20R15_
106122146,-6.85,[sl 93.831],NZDJPY,LHN_NEME_A15R25_,LHN_NEME_A15R25_
106122153,-6.85,[sl 93.831],NZDJPY,LHN_NEME_A20R25_,LHN_NEME_A20R25_
106162660,20.06,[tp 1.95661],EURNZD,LHN_EXPL_A20R20_,LHN_EXPL_A20R20_
106162662,20.15,[tp 1.95663],EURNZD,LHN_EXPL_A25R20_,LHN_EXPL_A25R20_
106162658,20.06,[tp 1.95661],EURNZD,LHN_EXPL_A15R20_,LHN_EXPL_A15R20_
106167307,-51.93,[sl 71273.72],BTCUSD,LHN_NEME_A20R25_,LHN_NEME_A20R25_
106167291,-50.98,[sl 71278.56],BTCUSD,LHN_NEME_A15R15_,LHN_NEME_A15R15_
106167296,-51.22,[sl 71279.84],BTCUSD,LHN_NEME_A28R15_,LHN_NEME_A28R15_
106167293,-50.98,[sl 71279.86],BTCUSD,LHN_NEME_A20R15_,LHN_NEME_A20R15_
106167312,-51.93,[sl 71273.74],BTCUSD,LHN_NEME_A25R25_,LHN_NEME_A25R25_
106167295,-51.22,[sl 71278.45],BTCUSD,LHN_NEME_A25R15_,LHN_NEME_A25R15_
106167314,-50.91,[sl 71279.64],BTCUSD,LHN_NEME_A32R25_,LHN_NEME_A32R25_
106169707,-17.67,[sl 2087.20],ETHUSD,LHN_ALFA_A20R15_,LHN_ALFA_A20R15_
106169721,-17.74,[sl 2087.12],ETHUSD,LHN_ALFA_A25R15_,LHN_ALFA_A25R15_
106169709,-17.74,[sl 2087.11],ETHUSD,LHN_ALFA_A25R15_,LHN_ALFA_A25R15_
106169730,-17.63,[sl 2087.26],ETHUSD,LHN_ALFA_A15R15_,LHN_ALFA_A15R15_
106169718,-17.63,[sl 2087.26],ETHUSD,LHN_ALFA_A15R15_,LHN_ALFA_A15R15_
106169720,-17.63,[sl 2087.26],ETHUSD,LHN_ALFA_A20R15_,LHN_ALFA_A20R15_
106169704,-17.67,[sl 2087.21],ETHUSD,LHN_ALFA_A15R15_,LHN_ALFA_A15R15_
106169716,-17.51,[sl 2087.26],ETHUSD,LHN_ALFA_A28R15_,LHN_ALFA_A28R15_
106169724,-17.51,[sl 2087.26],ETHUSD,LHN_ALFA_A28R15_,LHN_ALFA_A28R15_
