symbol,time,pnl_r,dollar_pnl,balance
EURGBP,2026-02-18 16:15:00,-1.1,-55.00000000000001,3374.999999999999
USDJPY,2026-02-18 16:20:00,-1.1,-55.00000000000001,3319.999999999999
EURJPY,2026-02-18 16:25:00,-1.1,-55.00000000000001,3264.999999999999
EURJPY,2026-02-18 16:35:00,2.4,120.0,3384.999999999999
GBPJPY,2026-02-18 16:35:00,-1.1,-55.00000000000001,3329.999999999999
AUDJPY,2026-02-18 16:35:00,-1.1,-55.00000000000001,3274.999999999999
AUDJPY,2026-02-18 16:40:00,-1.1,-55.00000000000001,3219.999999999999
GBPJPY,2026-02-18 16:40:00,2.4,120.0,3339.999999999999
BTCUSD,2026-02-18 16:45:00,2.4,120.0,3459.999999999999
SOLUSD,2026-02-18 17:35:00,2.4,120.0,3579.999999999999
BTCUSD,2026-02-18 17:35:00,2.4,120.0,3699.999999999999
ETHUSD,2026-02-18 17:35:00,2.4,120.0,3819.999999999999
BTCUSD,2026-02-18 17:40:00,2.4,120.0,3939.999999999999
AUDUSD,2026-02-19 06:25:00,-1.1,-55.00000000000001,3884.999999999999
AUDJPY,2026-02-19 06:40:00,-1.1,-55.00000000000001,3829.999999999999
EURJPY,2026-02-19 07:55:00,2.4,120.0,3949.999999999999
