symbol,time,type,pnl_r,regime,dollar_pnl,balance
AUDUSD,2026-02-26 06:10:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6237.5
AUDUSD,2026-02-27 06:20:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,6290.0
AUDUSD,2026-03-02 06:10:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6255.0
AUDUSD,2026-03-03 06:50:00,ANTITESIS,-0.7,TRENDING,-35.0,6220.0
AUDUSD,2026-03-04 06:25:00,TESIS_DOWN,-0.7,TRENDING,-35.0,6185.0
AUDUSD,2026-03-05 06:25:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,6237.5
AUDUSD,2026-03-06 06:20:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6202.5
AUDUSD,2026-03-09 06:40:00,TESIS_DOWN,-0.7,TRENDING,-35.0,6167.5
AUDUSD,2026-03-10 07:15:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6132.5
AUDUSD,2026-03-11 08:15:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6097.5
AUDUSD,2026-03-12 06:50:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,6150.0
AUDUSD,2026-03-13 07:10:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,6202.5
AUDUSD,2026-03-16 06:35:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,6255.0
AUDUSD,2026-03-17 06:20:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,6307.5
AUDUSD,2026-03-18 06:25:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6272.5
AUDUSD,2026-03-19 06:15:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,6325.0
AUDUSD,2026-03-20 06:15:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6290.0
AUDUSD,2026-03-23 06:50:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,6342.5
AUDUSD,2026-03-24 06:25:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,6395.0
AUDUSD,2026-03-25 06:40:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,6447.5
AUDUSD,2026-03-26 06:15:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6412.5
AUDUSD,2026-03-27 08:25:00,ANTITESIS,-0.7,TRENDING,-35.0,6377.5
AUDUSD,2026-03-30 07:40:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6342.5
AUDUSD,2026-03-31 07:20:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,6395.0
AUDUSD,2026-04-01 07:45:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6360.0
AUDUSD,2026-04-02 06:30:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,6412.5
AUDUSD,2026-04-03 06:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6377.5
AUDUSD,2026-04-06 07:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6342.5
AUDUSD,2026-04-07 07:15:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,6395.0
AUDUSD,2026-04-08 06:55:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6360.0
AUDUSD,2026-04-09 06:20:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,6412.5
AUDUSD,2026-04-10 06:25:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6377.5
CADCHF,2025-11-18 07:15:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6342.5
CADCHF,2025-11-19 06:20:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6307.5
CADCHF,2025-11-20 06:10:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6272.5
CADCHF,2025-11-21 07:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6237.5
CADCHF,2025-11-24 06:45:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6202.5
CADCHF,2025-11-25 06:15:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6167.5
CADCHF,2025-11-26 06:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6132.5
CADCHF,2025-11-27 07:25:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6097.5
CADCHF,2025-11-28 07:30:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6062.5
CADCHF,2025-12-01 06:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6027.5
CADCHF,2025-12-02 06:10:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,5992.5
CADCHF,2025-12-03 06:10:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,5957.5
CADCHF,2025-12-04 07:35:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,5922.5
CADCHF,2025-12-05 06:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,5887.5
CADCHF,2025-12-08 06:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,5852.5
CADCHF,2025-12-09 07:10:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,5817.5
CADCHF,2025-12-10 06:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,5782.5
CADCHF,2025-12-11 06:15:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,5747.5
CADCHF,2025-12-12 06:10:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,5712.5
CADCHF,2025-12-15 06:10:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,5677.5
CADCHF,2025-12-16 07:55:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,5642.5
CADCHF,2025-12-17 06:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,5607.5
CADCHF,2025-12-18 06:10:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,5572.5
CADCHF,2025-12-19 06:35:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,5537.5
CADCHF,2025-12-22 06:40:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,5502.5
CADCHF,2025-12-23 06:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,5467.5
CADCHF,2025-12-24 06:15:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,5432.5
CADCHF,2025-12-26 07:15:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,5397.5
CADCHF,2025-12-29 06:35:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,5362.5
CADCHF,2025-12-30 07:20:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,5327.5
CADCHF,2025-12-31 06:10:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,5292.5
CADCHF,2026-01-02 10:10:00,ANTITESIS,-0.7,TRENDING,-35.0,5257.5
CADCHF,2026-01-05 06:15:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,5222.5
CADCHF,2026-01-06 06:15:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,5187.5
CADCHF,2026-01-07 06:20:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,5152.5
CADCHF,2026-01-08 06:40:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,5117.5
CADCHF,2026-01-09 07:30:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,5082.5
CADCHF,2026-01-12 06:15:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,5047.5
CADCHF,2026-01-13 06:10:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,5012.5
CADCHF,2026-01-14 06:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,4977.5
CADCHF,2026-01-15 08:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,4942.5
CADCHF,2026-01-16 07:50:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,4907.5
CADCHF,2026-01-19 06:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,4872.5
CADCHF,2026-01-20 06:25:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,4837.5
CADCHF,2026-01-21 06:15:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,4802.5
CADCHF,2026-01-22 06:50:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,4767.5
CADCHF,2026-01-23 06:50:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,4732.5
CADCHF,2026-01-26 06:15:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,4785.0
CADCHF,2026-01-27 07:20:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,4750.0
CADCHF,2026-01-28 07:00:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,4802.5
CADCHF,2026-01-29 06:20:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,4767.5
CADCHF,2026-01-30 06:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,4732.5
CADCHF,2026-02-02 06:25:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,4697.5
CADCHF,2026-02-03 06:25:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,4662.5
CADCHF,2026-02-04 06:20:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,4627.5
CADCHF,2026-02-05 07:35:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,4592.5
CADCHF,2026-02-06 06:35:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,4557.5
CADCHF,2026-02-09 06:45:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,4522.5
