Ticket,Open,Type,Volume,Symbol,Price,SL,TP,Close,Price,Swap,Commissions,Profit,Pips,"Trade duration in seconds"
402463617,"2026-03-16 00:20:38",buy,0.01,SOLUSD,88.78000000,86.42,92.34000000,"2026-03-16 01:42:01",92.36000000,0,-0.06,3.58000000,3.6,4883
402120590,"2026-03-13 18:42:06",sell,0.01,SOLUSD,89.82000000,92.04,84.27000000,"2026-03-16 01:41:55",92.03000000,-0.22,-0.06,-2.21000000,-2.2,197989
402120557,"2026-03-13 18:42:06",sell,0.01,SOLUSD,89.82000000,92.03,85.37000000,"2026-03-16 01:41:55",92.03000000,-0.22,-0.06,-2.21000000,-2.2,197989
402120533,"2026-03-13 18:42:06",sell,0.01,SOLUSD,89.82000000,92.02,85.80000000,"2026-03-16 01:41:54",92.02000000,-0.22,-0.06,-2.20000000,-2.2,197988
402120743,"2026-03-13 18:42:06",sell,0.01,SOLUSD,89.80000000,91.55,83.22000000,"2026-03-16 01:39:41",91.57000000,-0.22,-0.06,-1.77000000,-1.8,197855
402120738,"2026-03-13 18:42:06",sell,0.01,SOLUSD,89.80000000,91.53,84.86000000,"2026-03-16 01:39:41",91.54000000,-0.22,-0.06,-1.74000000,-1.7,197855
402120581,"2026-03-13 18:42:06",sell,0.01,SOLUSD,89.82000000,91.51,85.67000000,"2026-03-16 01:39:40",91.52000000,-0.22,-0.06,-1.70000000,-1.7,197854
402463618,"2026-03-16 00:20:38",buy,0.01,SOLUSD,88.78000000,87.9,91.45000000,"2026-03-16 01:39:09",91.45000000,0,-0.06,2.67000000,2.7,4711
402463616,"2026-03-16 00:20:38",buy,0.01,SOLUSD,88.78000000,87.02,91.45000000,"2026-03-16 01:39:09",91.45000000,0,-0.06,2.67000000,2.7,4711
402485459,"2026-03-16 01:27:54",sell,0.01,ETHUSD,2134.23000000,2163.93,2089.71000000,"2026-03-16 01:39:08",2165.00000000,0,-0.14,-3.08000000,-30.8,674
402123529,"2026-03-13 18:41:20",buy,0.01,XAUUSD,5054.08000000,5007.02,5138.05000000,"2026-03-16 01:18:58",5006.94000000,-0.85,-0.08,-47.14000000,-47.1,196658
402123721,"2026-03-13 18:41:21",buy,0.01,XAUUSD,5054.08000000,5007.02,5124.01000000,"2026-03-16 01:18:58",5006.94000000,-0.85,-0.08,-47.14000000,-47.1,196657
402123592,"2026-03-13 18:41:21",buy,0.01,XAUUSD,5054.08000000,5007.02,5147.41000000,"2026-03-16 01:18:58",5006.94000000,-0.85,-0.08,-47.14000000,-47.1,196657
402123438,"2026-03-13 18:41:20",buy,0.01,XAUUSD,5054.08000000,5007.02,5124.01000000,"2026-03-16 01:18:58",5006.94000000,-0.85,-0.08,-47.14000000,-47.1,196658
402123630,"2026-03-13 18:41:20",buy,0.01,XAUUSD,5054.08000000,5007.02,5170.81000000,"2026-03-16 01:18:58",5006.94000000,-0.85,-0.08,-47.14000000,-47.1,196658
402100246,"2026-03-13 18:39:02",buy,0.01,CADJPY,116.20500000,116.05,116.43300000,"2026-03-16 01:18:34",116.43600000,0.01,-0.06,1.45000000,23.1,196772
402229257,"2026-03-13 21:08:46",buy,0.01,GBPJPY,211.44600000,210.952,212.68200000,"2026-03-16 00:48:46",210.91200000,0.03,-0.06,-3.35000000,-53.4,186000
402229240,"2026-03-13 21:08:42",buy,0.01,GBPJPY,211.44700000,210.951,212.43400000,"2026-03-16 00:48:46",210.91200000,0.03,-0.06,-3.35000000,-53.5,186004
402296973,"2026-03-13 23:32:52",buy,0.01,CADJPY,116.38400000,116.156,116.72600000,"2026-03-16 00:46:56",116.14500000,0.01,-0.06,-1.50000000,-23.9,177244
401922778,"2026-03-13 15:52:37",sell,11.55,NZDUSD,0.58339000,0.58109,0.57650000,"2026-03-16 00:41:48",0.58113000,0.81,-57.76,2610.30000000,22.6,204551
402272881,"2026-03-13 22:41:14",sell,0.01,BTCUSD,71018.14000000,72135.95,69344.28000000,"2026-03-16 00:37:49",72158.60000000,-1.78,-0.46,-11.40000000,-1140.5,179795
402402646,"2026-03-15 06:00:55",buy,0.01,BTCUSD,71467.54000000,71114.41,71995.91000000,"2026-03-16 00:37:47",71997.86000000,0,-0.46,5.30000000,530.3,67012
402286445,"2026-03-13 23:01:16",buy,7.94,NZDJPY,92.33300000,92.105,92.66600000,"2026-03-16 00:27:24",92.09700000,5.57,-39.7,-1174.83000000,-23.6,177968
402286514,"2026-03-13 23:01:08",buy,15.88,NZDJPY,92.33400000,92.104,92.77700000,"2026-03-16 00:27:24",92.09600000,11.13,-79.4,-2369.57000000,-23.8,177976
